# Total Kinetic Energy: 8.764354126212693e+38 J
# Total Potential Energy: -7.914632927472755e+46 J
# Total Energy: -7.914632839829214e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 7.354561245622322895e+04 1.452240264577788912e+04 0.000000000000000000e+00 4.844188903017022929e-02 1.459374411620329229e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.251053209686157837e+11 8.290227923240927124e+10 0.000000000000000000e+00 -1.613377717364512500e+04 2.491949145225583925e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
