# Total Kinetic Energy: 8.568914033433745e+38 J
# Total Potential Energy: -7.824964152082317e+46 J
# Total Energy: -7.824964066393177e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 3.646229004950526287e+05 2.752362490204176866e+06 0.000000000000000000e+00 -8.628161803177164524e-02 7.143893954466067064e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 2.816079218274169540e+10 -1.491625200597644653e+11 0.000000000000000000e+00 2.873645985686426138e+04 5.986957341873720907e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
