# Total Kinetic Energy: 8.77205636804508e+38 J
# Total Potential Energy: -7.918168001893369e+46 J
# Total Energy: -7.918167914172806e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 7.803832828503289784e+04 2.916617476956939790e+06 0.000000000000000000e+00 -4.979310062042848622e-02 1.543888316639065519e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.236090028534929657e+11 -8.499611160404702759e+10 0.000000000000000000e+00 1.658380394072875424e+04 2.463801429706109411e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
