# Total Kinetic Energy: 8.257265580282422e+38 J
# Total Potential Energy: -7.682017797181969e+46 J
# Total Energy: -7.682017714609313e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 7.960955689495070837e+05 2.127084697197458241e+06 0.000000000000000000e+00 -5.837003824041812894e-02 1.532747334742790568e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.155430151775911560e+11 -1.027522884789251556e+11 0.000000000000000000e+00 1.944038949433879679e+04 -2.126880188887156692e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
