# Total Kinetic Energy: 8.316673834418216e+38 J
# Total Potential Energy: -7.709261992957514e+46 J
# Total Energy: -7.709261909790776e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 6.908769389318890171e+05 5.804885189979706192e+05 0.000000000000000000e+00 7.477385102705354225e-02 1.335495293774991155e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -8.049950293629072571e+10 1.313774202246883392e+11 0.000000000000000000e+00 -2.490374911132113994e+04 -1.469923876956556342e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
