# Total Kinetic Energy: 8.469187944792976e+38 J
# Total Potential Energy: -7.77921506260551e+46 J
# Total Energy: -7.779214977913631e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 4.754733158281571232e+05 2.847067207585904398e+05 0.000000000000000000e+00 8.755668830152076032e-02 9.274304868947033653e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -8.758410110884653091e+09 1.524417469419900513e+11 0.000000000000000000e+00 -2.916112743330961166e+04 -1.108466819048273010e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
