# Total Kinetic Energy: 8.411421044721396e+38 J
# Total Potential Energy: -7.752717878077316e+46 J
# Total Energy: -7.752717793963106e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 5.563274743413672550e+05 3.784728208152513835e+05 0.000000000000000000e+00 8.528799792161947946e-02 1.081456566152374649e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -3.568723149112170410e+10 1.490008621138757324e+11 0.000000000000000000e+00 -2.840553045313153416e+04 -6.238370898812312589e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
