# Total Kinetic Energy: 8.183155974304868e+38 J
# Total Potential Energy: -7.648032178164155e+46 J
# Total Energy: -7.648032096332595e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.873094140695706010e+05 1.138193267538904445e+06 0.000000000000000000e+00 2.999822696190733440e-02 1.701494342707449425e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.459221742438674927e+11 5.318254730360324860e+10 0.000000000000000000e+00 -9.991037077567660162e+03 -2.688899276030005421e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
