# Total Kinetic Energy: 8.713939074359031e+38 J
# Total Potential Energy: -7.891499978356647e+46 J
# Total Energy: -7.891499891217257e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 1.409845023765507212e+05 3.949262844823482737e+04 0.000000000000000000e+00 6.414324925045375436e-02 2.789446680162040518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.026445118508108063e+11 1.100931289259982605e+11 0.000000000000000000e+00 -2.136318197574559599e+04 2.048962919148981018e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
