# Total Kinetic Energy: 8.667852327771208e+38 J
# Total Potential Energy: -7.870354250786705e+46 J
# Total Energy: -7.870354164108182e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.030501884086673090e+05 6.990608837700549338e+04 0.000000000000000000e+00 7.363539739410555895e-02 4.006745649242928614e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 8.197327114118588257e+10 1.267229135427557678e+11 0.000000000000000000e+00 -2.452458228681784749e+04 1.643536320103120306e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
