# Total Kinetic Energy: 8.166391714367668e+38 J
# Total Potential Energy: -7.640345130210089e+46 J
# Total Energy: -7.640345048546171e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.159451231301152147e+05 1.457723114896349609e+06 0.000000000000000000e+00 8.313873847749823302e-04 1.754501855976985936e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.554594189393505554e+11 1.566502222766115904e+09 0.000000000000000000e+00 -2.768971045408279679e+02 -2.865443053479948867e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
