# Total Kinetic Energy: 8.461594096280179e+38 J
# Total Potential Energy: -7.775731727696828e+46 J
# Total Energy: -7.775731643080886e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 4.860561978887762525e+05 2.960472579203027999e+05 0.000000000000000000e+00 8.741706235874552311e-02 9.476499640144736558e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.228308399209221458e+10 1.522669216069187317e+11 0.000000000000000000e+00 -2.911462441921384743e+04 -1.781885104232853109e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
