# Total Kinetic Energy: 8.772245291917206e+38 J
# Total Potential Energy: -7.918253911152924e+46 J
# Total Energy: -7.918253823430471e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 6.303210083508887328e+04 1.148045631219266397e+04 0.000000000000000000e+00 4.514540049189534610e-02 1.251322100511327064e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.286068907299078369e+11 7.722563319675973511e+10 0.000000000000000000e+00 -1.503586764540855802e+04 2.561241852324680440e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
