# Total Kinetic Energy: 8.194681521428602e+38 J
# Total Potential Energy: -7.653317846875471e+46 J
# Total Energy: -7.653317764928655e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.810040773695560638e+05 1.829175482104660710e+06 0.000000000000000000e+00 -3.303920350564457098e-02 1.690190304104296493e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.438221550381867065e+11 -5.833708693030255890e+10 0.000000000000000000e+00 1.100384724928444120e+04 -2.651250694680920424e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
