# Total Kinetic Energy: 8.755590096842025e+38 J
# Total Potential Energy: -7.91061145543993e+46 J
# Total Energy: -7.910611367884029e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.523537407780058857e+04 1.819346472640533102e+04 0.000000000000000000e+00 5.176065446382048518e-02 1.690481841571481528e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.212119961418714142e+11 8.862669479276293945e+10 0.000000000000000000e+00 -1.723910611663413147e+04 2.414977832738503639e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
