# Total Kinetic Energy: 8.779676782859001e+38 J
# Total Potential Energy: -7.921664721044012e+46 J
# Total Energy: -7.921664633247245e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 6.681601876061796793e+04 2.919957353641974740e+06 0.000000000000000000e+00 -4.640254178816172886e-02 1.322096280165352064e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.273466407711187592e+11 -7.916139333909983826e+10 0.000000000000000000e+00 1.545456390098016163e+04 2.537670210775469241e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
