# Total Kinetic Energy: 8.201392264199254e+38 J
# Total Potential Energy: -7.656394541811503e+46 J
# Total Energy: -7.65639445979758e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.594640435445496114e+05 1.007781710838783300e+06 0.000000000000000000e+00 4.150109732779846267e-02 1.649936603063809626e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.366481551590941620e+11 7.345974292660086060e+10 0.000000000000000000e+00 -1.382211697672329319e+04 -2.517184031302615767e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
