# Total Kinetic Energy: 8.730458478216488e+38 J
# Total Potential Energy: -7.899080774832386e+46 J
# Total Energy: -7.899080687527801e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 1.380532168042283738e+05 2.894356680625855923e+06 0.000000000000000000e+00 -6.365660826966576535e-02 2.727046257475746263e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.036207889779606476e+11 -1.089725611067712097e+11 0.000000000000000000e+00 2.120110412732170153e+04 2.069745645324971338e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
