# Total Kinetic Energy: 8.654483781634282e+38 J
# Total Potential Energy: -7.864220645201768e+46 J
# Total Energy: -7.86422055865693e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.211298844308617699e+05 8.002470046986234956e+04 0.000000000000000000e+00 7.580458377523953406e-02 4.360127474258768815e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 7.595175148476509094e+10 1.305572443489358978e+11 0.000000000000000000e+00 -2.524703903699792136e+04 1.525841000284549227e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
