# Total Kinetic Energy: 8.808335994588933e+38 J
# Total Potential Energy: -7.93481552688032e+46 J
# Total Energy: -7.93481543879696e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.293751014692841636e+04 2.929970618838340510e+06 0.000000000000000000e+00 -2.793369152189306356e-02 4.536158039605800614e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.419605646881696472e+11 -4.750366270098436737e+10 0.000000000000000000e+00 9.303434768426846858e+03 2.826921327180574372e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
