# Total Kinetic Energy: 8.612436135953171e+38 J
# Total Potential Energy: -7.844929436275641e+46 J
# Total Energy: -7.84492935015128e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.782233967850407935e+05 1.156618742350252433e+05 0.000000000000000000e+00 8.126320282821727914e-02 5.472486765457417607e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 5.693651436613446808e+10 1.403012648550796814e+11 0.000000000000000000e+00 -2.706505532908978421e+04 1.155365007284865715e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
