# Total Kinetic Energy: 8.178425120365753e+38 J
# Total Potential Energy: -7.645863238491698e+46 J
# Total Energy: -7.645863156707447e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.022524105098554865e+05 1.694629683257641271e+06 0.000000000000000000e+00 -2.092029997805649674e-02 1.729374179179624105e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.508990027635808716e+11 -3.694026357659859467e+10 0.000000000000000000e+00 6.967594885524782512e+03 -2.781754257180629793e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
