# Total Kinetic Energy: 8.166324542967002e+38 J
# Total Potential Energy: -7.640314312833288e+46 J
# Total Energy: -7.640314231170042e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.157262411592706339e+05 1.436502731041512918e+06 0.000000000000000000e+00 2.787535987967949044e-03 1.754086807566371808e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.553865193680159607e+11 5.031852519763777733e+09 0.000000000000000000e+00 -9.284007166893226213e+02 -2.864060717095635118e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
