# Total Kinetic Energy: 8.750478218668615e+38 J
# Total Potential Energy: -7.908265832262107e+46 J
# Total Energy: -7.908265744757325e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.206026897004534840e+04 2.047120531505907275e+04 0.000000000000000000e+00 5.355586939737370933e-02 1.825302709383511135e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.189389358704925232e+11 9.172757160206764221e+10 0.000000000000000000e+00 -1.783701008562900461e+04 2.370075169296083914e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
