# Total Kinetic Energy: 113592.11864696155 J
# Total Potential Energy: -263.4337220867633 J
# Total Energy: 113328.68492487479 J
# mass x y z vx vy vz ax ay az
2.000000000000000111e-01 1.253856087129287200e+00 -1.455355133736082607e+00 4.488227696791716959e+00 3.065954640301065681e-01 -3.444147682690308354e-01 2.186067004491303312e+00 -8.966043962736165440e-01 6.963139999641968503e-01 -4.318718804335897610e-01
2.000000000000000111e-01 1.733829948281785827e+00 7.219686072091048956e+00 3.864880477825331617e+00 9.078228600642836987e-01 2.156815831824943963e+00 2.337935576140088845e+00 -8.638420432590800946e-01 7.477608111009810266e-01 -8.297878829518955390e-01
2.000000000000000111e-01 -6.267325583635590114e-01 1.486691737281160997e+00 1.094268655749062802e+01 4.897252704112650679e-01 4.221182712246832613e-01 5.046762004264024881e+00 9.641895495286434414e-01 -7.350472763951455546e-01 1.373103499606344924e+00
2.000000000000000111e-01 2.038615279460024965e+00 1.818858572382922034e+00 3.325107347219441678e+00 -2.036056572867294356e+00 -4.953080631416540980e-01 4.170752260078162132e-01 -5.460842563394595617e-01 -1.562379614909943371e+00 1.380396280783603880e+00
2.000000000000000111e-01 -1.872264488482314970e+00 -1.811510396266023726e+00 -5.963657461337770194e-01 -2.485321365241401903e+00 1.539372824055495803e+00 -4.416384525932595118e+00 8.297013594807493009e-01 2.265106253250432911e+00 9.937754100366300372e-03
2.000000000000000111e-01 -1.831402111422769252e+01 -3.963722011508459531e+01 1.261932628326107420e+01 -1.068356840835952504e+01 -2.193851536995267537e+01 7.462575269723940252e+00 5.503421260199654018e-03 -6.324108284545006953e-01 -1.983938834140225038e-01
2.000000000000000111e-01 1.453786968935941060e+00 1.479572631172467734e-01 -7.709554258289216255e-01 -1.591314828712003804e+00 -1.569779490250940102e+00 2.820465260445609079e+00 1.185290918075305733e+00 1.180817650969794297e+00 4.342061600991873882e-01
2.000000000000000111e-01 1.322328054037509970e+00 3.930487896309117435e+00 6.356373052688788938e+00 -7.868478470068234198e-01 -8.069137733009788815e-02 2.490800878241515637e+00 6.301270386930696299e-01 -1.153803380428851000e+00 -5.839674396223903247e-02
2.000000000000000111e-01 6.426284128570525223e-01 -2.200473981057164408e-01 8.799882811324716059e+00 -1.156064516827169042e+00 1.582756185654273562e+00 2.266752543520608398e+00 4.819874889720659472e-01 6.233897045599963160e-01 7.806367264006173201e-01
2.000000000000000111e-01 -5.115059192102635599e+00 -8.411356713057930534e+00 -1.094284247713068225e+01 -2.516677012931633151e+00 -4.034516441448459112e+00 -5.212529852552022724e+00 -5.073469463042808991e-01 -1.432177634536540234e+00 -5.631686098712457289e-01
