# Total Kinetic Energy: 8.571056345648227e+38 J
# Total Potential Energy: -7.825946957915047e+46 J
# Total Energy: -7.825946872204483e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 3.616429089411612367e+05 2.754821471136046108e+06 0.000000000000000000e+00 -8.617095118112037822e-02 7.086329710997484044e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 2.915329104421018982e+10 -1.489522973176157227e+11 0.000000000000000000e+00 2.869960179156864979e+04 6.178677503057601825e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
