# Total Kinetic Energy: 8.456724670319908e+38 J
# Total Potential Energy: -7.773498114676975e+46 J
# Total Energy: -7.773498030109729e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 4.928494281927357079e+05 3.034666255951638450e+05 0.000000000000000000e+00 8.730274210201813267e-02 9.606195572720423181e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.454559823766748619e+10 1.521115624468887939e+11 0.000000000000000000e+00 -2.907654957148599351e+04 -2.213842923879608861e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
