# Total Kinetic Energy: 8.269216975159107e+38 J
# Total Potential Energy: -7.687497675470455e+46 J
# Total Energy: -7.687497592778285e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 7.593930478145531379e+05 7.172867241173493676e+05 0.000000000000000000e+00 6.520008211865212233e-02 1.463791287572184241e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.033190844111097412e+11 1.148910057820820618e+11 0.000000000000000000e+00 -2.171516465740109561e+04 -1.897219140959602737e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
