# Total Kinetic Energy: 8.624714702077795e+38 J
# Total Potential Energy: -7.850562672233449e+46 J
# Total Energy: -7.850562585986302e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.615150688876043423e+05 1.046519466667869419e+05 0.000000000000000000e+00 7.986747978220695710e-02 5.147517384127158618e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 6.250129403592704773e+10 1.377929872589019165e+11 0.000000000000000000e+00 -2.660020383235259214e+04 1.263597441890673326e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
