# Total Kinetic Energy: 8.413704897259792e+38 J
# Total Potential Energy: -7.753766822923987e+46 J
# Total Energy: -7.753766738786937e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 5.800221282885100227e+05 2.523735489616222214e+06 0.000000000000000000e+00 -8.417955301494900455e-02 1.126690745672638966e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -4.357883676588287354e+10 -1.468621955218127441e+11 0.000000000000000000e+00 2.803635816254743258e+04 -7.744914486652346568e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
