# Total Kinetic Energy: 8.170156753171225e+38 J
# Total Potential Energy: -7.642071460652433e+46 J
# Total Energy: -7.642071378950865e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.081484408030949999e+05 1.294480936402148334e+06 0.000000000000000000e+00 1.583924312354933681e-02 1.740038652264885299e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.528627007296311035e+11 2.814669046887544250e+10 0.000000000000000000e+00 -5.275327289474214922e+03 -2.817272738370492152e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
