# Total Kinetic Energy: 8.686445431879243e+38 J
# Total Potential Energy: -7.878886267830964e+46 J
# Total Energy: -7.87888618096651e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.003757982401131303e+05 2.864195744424511213e+06 0.000000000000000000e+00 -7.336705027513792943e-02 3.950024878204389661e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 8.286398816148802185e+10 -1.259437490249769287e+11 0.000000000000000000e+00 2.443520813751659807e+04 1.662427414141235204e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
