# Total Kinetic Energy: 143931.20168447756 J
# Total Potential Energy: -778.3949745593804 J
# Total Energy: 143152.8067099182 J
# mass x y z vx vy vz ax ay az
2.000000000000000111e-01 2.365947984881996979e-01 -5.981564859857194660e-01 -2.118409572728522150e+00 -2.453326644553412095e+00 1.874846100140048488e+00 -4.455674801890128656e+00 1.112131061580115432e+00 -1.326002105085030414e-01 1.219961580377953547e+00
2.000000000000000111e-01 -5.888596967727692810e-01 4.761311714193321998e-01 6.227805836763279368e-01 -2.420344499429666740e+01 -4.323341474010732988e+00 2.165897976728786745e+01 2.699041547263745788e-01 1.989345446514553695e+00 -2.737681246386168277e-01
2.000000000000000111e-01 -2.031878850248311164e+00 1.626504500073195025e+00 1.090732523663003883e+00 -2.417778499507111878e+00 3.210724381806915328e+00 5.705395655349721373e+00 -2.937911826042545194e+00 1.305695967249574041e+00 3.492309820269403620e-01
2.000000000000000111e-01 1.033637330996354242e+00 -3.723376687076402347e-01 -1.541455235470788887e-01 1.163486519612362180e+01 -2.072560628331279631e+00 -9.043938253562822105e-01 -7.536403006720584496e-01 -1.568655641053418592e-01 -1.413495907973157106e-01
2.000000000000000111e-01 1.043211688810511850e+00 -1.490094931207547102e+00 -1.234065202262552452e+00 3.539362724618434708e+00 -4.804737310484126667e+00 -2.768970258345756275e+00 1.119353522796681794e-01 2.620936284584423070e+00 4.785062303361312108e-01
2.000000000000000111e-01 6.054556917593207910e-01 4.906117765966698130e+00 -6.179003761165708042e+00 1.162265260666363265e+00 1.388883113703703742e+01 -1.675886641183892678e+01 2.322625098397875565e+00 9.424909421025224887e-01 3.856692653494809275e-01
2.000000000000000111e-01 -2.249445056543187160e+00 -2.067661882228153392e+00 2.877986695550331486e+00 -1.192151203063978393e+01 -1.075106503311656425e+01 1.153306113372726394e+01 -7.799893016850598104e-02 -3.623660123757801999e-01 9.463559795580524237e-02
2.000000000000000111e-01 -2.722688500493722005e-03 1.387464362458804834e-01 -1.924155647935061442e+00 -1.162898284531187709e+00 -1.898879260636824773e+00 -1.444600798713268630e-01 -2.822203611955039215e-01 -3.743734202435109598e-02 6.932200910895870427e-01
2.000000000000000111e-01 -4.680537200390392227e-01 1.319952523302682090e-01 1.145207916519555003e-01 -6.941482151960579827e+00 -4.197462360579709895e+00 3.160986773993005983e+00 1.092051761507943697e+00 -1.776818162249802213e-01 -1.957260997796935964e+00
2.000000000000000111e-01 -1.472715010898959509e+00 3.692496589529654649e-01 1.093719761934892842e+00 -7.032051452407902303e+00 4.903392254602289668e+00 4.943085178183135753e+00 -1.664407931597272627e-01 -9.650068241224063481e-01 3.546644428898021451e-01
2.000000000000000111e-01 -6.015283488286274904e-01 -1.508735677309481771e-01 2.300894448220947019e-01 -7.131805586449230461e+00 -2.508254894916666089e+00 6.323486563812045880e+00 1.614489561108785332e-01 -5.663598480014984116e-01 -1.317715235282914538e-02
2.000000000000000111e-01 -1.983552531551739939e+00 3.547729364341053682e+00 5.338001625270518247e+00 -5.594646213655444456e+00 8.117363057963890682e+00 1.287124717641923688e+01 6.295661757179298323e-01 -1.537997823929941443e+00 3.874429109039332908e-01
2.000000000000000111e-01 5.249537984340339747e-02 -2.260657678270532045e-01 1.145929412228872124e-01 1.528979973449549057e-01 -3.555209815209129154e+00 -5.868881019898233298e+00 1.218003542201554712e+00 2.790102563485865605e-01 -9.241176421201500180e-01
2.000000000000000111e-01 -2.980707632740066670e-01 8.268148565367527958e-01 9.775101256916915449e-02 -2.694301839338515414e+00 2.457759578624259866e+00 2.057443591911021663e+00 1.613871496129092753e+00 6.812046624892643676e-01 -6.590206085151249261e-03
2.000000000000000111e-01 4.980427172731570762e-01 -1.938054013820595944e+00 -1.409199444321094896e+00 -7.182827676075130841e-01 -5.543359656582934392e+00 -3.088967865989858730e+00 -5.432097655884298160e-01 8.423833018329252020e-01 -1.494328948952003411e-01
2.000000000000000111e-01 1.737431573621367242e+00 -3.135239357264294480e+00 -3.702066678902074415e+00 4.431702047154656654e+00 -2.014038321437978674e+00 -8.552396672010051049e+00 -8.719875287864491120e-02 -3.539668042882763155e-01 5.144601091997094144e-01
2.000000000000000111e-01 5.383373291022376383e-01 -1.231465931187061408e-01 2.392456428939696567e-01 -9.020413947971816171e+00 -8.360495283312094350e-02 -9.668759155557893337e+00 2.974928503074385500e-01 1.880010619296722807e-01 1.301228515883393833e+00
2.000000000000000111e-01 6.100359677296847138e-01 2.788920574139416297e-01 9.563247356369976027e-01 -1.417008188276756675e+00 6.388908249232672087e-01 1.784050490854517390e-01 9.941663314276857899e-02 -1.730516482962342284e+00 1.597179739205750515e+00
2.000000000000000111e-01 6.370022668999797411e-02 -1.202109295230673197e-01 5.801689234649860111e-02 7.334546844932105181e+00 -3.043884860618142341e-01 -3.812163273448034406e+00 3.571589793730877149e-01 5.647964869292386725e-01 -5.523340820094913006e-01
2.000000000000000111e-01 2.488489546194616320e-01 5.141963304882866126e-01 -3.327343192372073655e-01 -4.027028713588020281e+00 1.130513238807838050e+00 -2.033041097349060244e+00 -1.931708422166933392e-01 -5.189179524242124586e-01 -1.345254381590285479e-02
