# Total Kinetic Energy: 8.226445328863404e+38 J
# Total Potential Energy: -7.667883105399923e+46 J
# Total Energy: -7.66788302313547e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.220790636473835912e+05 8.792810502113156253e+05 0.000000000000000000e+00 5.239833565901252932e-02 1.580561080368168836e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.241969285992376862e+11 9.258590808521340942e+10 0.000000000000000000e+00 -1.745148855086675758e+04 -2.286125902297873108e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
