# Total Kinetic Energy: 8.190145044948192e+38 J
# Total Potential Energy: -7.651237569973011e+46 J
# Total Energy: -7.651237488071561e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.870112526219465071e+05 1.796941347689136164e+06 0.000000000000000000e+00 -3.016136984563447254e-02 1.701278850245115382e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.458228703056020203e+11 -5.326195376558772278e+10 0.000000000000000000e+00 1.004537250886915172e+04 -2.688181569218912045e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
