# Total Kinetic Energy: 8.621334676438112e+38 J
# Total Potential Energy: -7.849013293110134e+46 J
# Total Energy: -7.849013206896788e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.915969875062952633e+05 2.807932969759207685e+06 0.000000000000000000e+00 -8.236060247304649584e-02 5.729163900436329976e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 5.248238309611030579e+10 -1.419405846269042358e+11 0.000000000000000000e+00 2.743054894823999348e+04 1.069877595785689300e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
