# Total Kinetic Energy: 8.200062104528025e+38 J
# Total Potential Energy: -7.655785214356889e+46 J
# Total Energy: -7.655785132356268e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.738313682040346321e+05 1.864087961585050216e+06 0.000000000000000000e+00 -3.613387669846777200e-02 1.676940610708538837e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.414332537437758789e+11 -6.378965591035836792e+10 0.000000000000000000e+00 1.203454131836102169e+04 -2.607122027292840357e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
