# Total Kinetic Energy: 8.185812558539855e+38 J
# Total Potential Energy: -7.649250843775593e+46 J
# Total Energy: -7.649250761917467e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.927028094807890011e+05 1.763027358361863764e+06 0.000000000000000000e+00 -2.711464006385757436e-02 1.711777462839412789e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.477184675246639709e+11 -4.788463697778710938e+10 0.000000000000000000e+00 9.030646196753574259e+03 -2.723147644989270702e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
