# Total Kinetic Energy: 8.171737297356498e+38 J
# Total Potential Energy: -7.642796199138152e+46 J
# Total Energy: -7.642796117420779e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.054929905449179932e+05 1.267457133142402163e+06 0.000000000000000000e+00 1.830779492194919283e-02 1.735126532044869996e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.519782917270333252e+11 3.251569748167450333e+10 0.000000000000000000e+00 -6.097488965130160068e+03 -2.800912713056342545e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
