# Total Kinetic Energy: 8.406717462155207e+38 J
# Total Potential Energy: -7.750560463066533e+46 J
# Total Energy: -7.750560378999359e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 5.629475052420456195e+05 3.869311146759842522e+05 0.000000000000000000e+00 8.497722546173748503e-02 1.094021741990849339e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -3.789206093878568268e+10 1.484994841688995972e+11 0.000000000000000000e+00 -2.830202636359616008e+04 -6.656859424310071518e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
