# Total Kinetic Energy: 8.171362693800717e+38 J
# Total Potential Energy: -7.642624429001004e+46 J
# Total Energy: -7.642624347287377e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 9.061162513621193357e+05 1.273455732574480819e+06 0.000000000000000000e+00 1.776042099918988607e-02 1.736279352793314024e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.521858713930436401e+11 3.154703522768845367e+10 0.000000000000000000e+00 -5.915183752074522090e+03 -2.804752231590594238e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
