# Total Kinetic Energy: 8.540098506155067e+38 J
# Total Potential Energy: -7.811743557781321e+46 J
# Total Energy: -7.811743472380336e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 3.772819490248041693e+05 1.911263741966247617e+05 0.000000000000000000e+00 8.660669341848355185e-02 7.389677547808753966e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 2.394464222867811584e+10 1.501601833786527100e+11 0.000000000000000000e+00 -2.884472759701339237e+04 5.168364630623595076e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
