# Total Kinetic Energy: 8.27208370733338e+38 J
# Total Potential Energy: -7.688813415328396e+46 J
# Total Energy: -7.688813332607559e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 7.757463018781064311e+05 2.178100592232123949e+06 0.000000000000000000e+00 -6.237291480221325568e-02 1.494831278522089912e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.087656052303347321e+11 -1.097086805000820465e+11 0.000000000000000000e+00 2.077356455820526389e+04 -2.000599151005419480e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
