# Total Kinetic Energy: 8.405339549115672e+38 J
# Total Potential Energy: -7.749929835978719e+46 J
# Total Energy: -7.749929751925324e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 5.916125223474735394e+05 2.508008004963878542e+06 0.000000000000000000e+00 -8.349605188723956128e-02 1.148664188376790629e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -4.743906680327048492e+10 -1.457408770665029297e+11 0.000000000000000000e+00 2.780871520490943658e+04 -8.476749341618147810e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
