# Total Kinetic Energy: 8.196126326945631e+38 J
# Total Potential Energy: -7.653979791992247e+46 J
# Total Energy: -7.653979710030985e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 8.674268820400849218e+05 1.040717599097822909e+06 0.000000000000000000e+00 3.863144930908000985e-02 1.664689561595711631e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -1.393002123874295654e+11 6.840818685961665344e+10 0.000000000000000000e+00 -1.286636849895520572e+04 -2.566319387163221108e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
