# Total Kinetic Energy: 8.45475595468685e+38 J
# Total Potential Energy: -7.772596495723022e+46 J
# Total Energy: -7.772596411175463e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 5.231195634136598674e+05 2.595113346807166934e+06 0.000000000000000000e+00 -8.665759583858376192e-02 1.018498565386293520e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -2.462719551737699890e+10 -1.508228560422393799e+11 0.000000000000000000e+00 2.886168086452490752e+04 -4.141527906117503335e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
