# Total Kinetic Energy: 8.435953700514565e+38 J
# Total Potential Energy: -7.763971998177265e+46 J
# Total Energy: -7.763971913817728e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 5.491871399980138522e+05 2.563561899083385710e+06 0.000000000000000000e+00 -8.569969903449316251e-02 1.068127209745645956e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -3.330911276893094635e+10 -1.493199841837999268e+11 0.000000000000000000e+00 2.854264925981354827e+04 -5.794431014469013462e+03 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
