# Total Kinetic Energy: 8.347591954558404e+38 J
# Total Potential Energy: -7.723443371177648e+46 J
# Total Energy: -7.723443287701728e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 6.715582216854379512e+05 2.386266255598366726e+06 0.000000000000000000e+00 -7.695986398208180812e-02 1.299636477519413302e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 -7.406532199135012817e+10 -1.347836776505613403e+11 0.000000000000000000e+00 2.563181002350309063e+04 -1.350494564276811798e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
