# Total Kinetic Energy: 8.742805617504154e+38 J
# Total Potential Energy: -7.904746184692992e+46 J
# Total Energy: -7.904746097264936e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 1.203970472973364522e+05 2.901632026436912362e+06 0.000000000000000000e+00 -6.016079790521670217e-02 2.379503926614020409e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 1.095012513271246643e+11 -1.029047723725100098e+11 0.000000000000000000e+00 2.003680961712591670e+04 2.185496096779085929e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
