# Total Kinetic Energy: 8.623879652789652e+38 J
# Total Potential Energy: -7.850180893838786e+46 J
# Total Energy: -7.850180807599989e+46 J
# mass x y z vx vy vz ax ay az
1.988999999999999902e+30 2.880445733051402494e+05 2.810393049237740692e+06 0.000000000000000000e+00 -8.210203817354208566e-02 5.660125774845534835e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.972000000000000327e+24 5.366552975486738586e+10 -1.414734285603942261e+11 0.000000000000000000e+00 2.734443300856915448e+04 1.092871037145382797e+04 0.000000000000000000e+00 5.930000000000000375e-03 0.000000000000000000e+00 0.000000000000000000e+00
