# Total Kinetic Energy: 24194.16741772019 J
# Total Potential Energy: -30932.88611780073 J
# Total Energy: -6738.718700080539 J
# mass x y z vx vy vz ax ay az
1.000000000000000056e-01 4.757087076495755684e-01 -3.699516382596264585e-01 -5.435139559524004849e-02 -2.514783181427524550e+00 -1.484306044195785879e-01 4.767224178143159019e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -6.497226659120795000e-01 8.053122182571648136e-01 -9.886393184493753594e-01 5.853757644566232043e-01 -5.880197657127945732e-01 7.481939155005031816e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.921933177799278303e+00 8.479364469834553830e-01 8.839704248844310053e-01 -1.159092000419347235e+00 -4.782028440598321550e-01 -4.532764072130006650e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -1.507815189896078711e-01 -1.244910521956734684e+00 1.110351822285549295e+00 2.092654433967143790e-01 7.252242729850638669e-01 -7.577467433812433706e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -4.403615736525268165e-01 8.944036400550117172e-01 2.450354604655200497e-01 4.537676585681294839e+00 -1.463394130342029475e+00 4.154099611173119322e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.044037072775778202e-01 1.057359587684176816e+00 -9.905653263004339237e-01 -9.331772634981672088e-02 -8.427237614220473017e-01 9.176226408583985084e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -4.663071852156551733e-01 7.942514320149172968e-02 -1.871494204455187993e-01 7.674372930517640023e-01 4.843058440468119008e-02 1.002807554563206194e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -1.030920989687132305e+00 2.811216093085532886e-01 -9.423644474768060331e-01 6.804994379057166531e-01 -1.648160296760929344e-01 6.384420932000045568e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 8.747950625066179542e-02 1.526018517659201157e+00 7.171313688993479207e-01 1.243684964748648092e-01 -9.225967634895595459e-01 -4.128303623270865308e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -5.019111511975523632e-01 9.049547638689277029e-01 2.202466586380449343e-01 -2.842600998586505945e+00 1.770221372576739061e-01 -1.119433639912045919e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
